subdir,file name,test class,timing (milseconds),res (true/false)
negative,ex23,Neg,0.01,ER
negative,xyz,Neg,0.01,ER
negative,binomial00,Neg,0.02,ER
negative,compose,Neg,0.01,ER
negative,ack01false,Neg,0.01,ER
negative,xy10,Neg,0.01,ER
negative,xy4,Neg,0.01,ER
negative,inductive1-1,Neg,0.01,ER
negative,up_down01,Neg,0.02,ER
negative,xyz2,Neg,0.01,ER
negative,indirectHO01,Neg,0.03,ER
negative,x_plus_2_pow_n01,Neg,0.08,ER
negative,zip00,Neg,0.02,ER
negative,CE-Jones_Bohr04,Neg,0.33,ER
negative,01_ic3,Neg,0.01,ER
list,simple,Pos,0.01,ER
list,fold_left,Pos,0.01,ER
list,nth,Pos,0.01,ER
list,fold_fun_list,Pos,0.01,ER
list,zipunzip,Pos,0.01,ER
list,length,Pos,0.01,ER
list,risers,Pos,0.01,ER
list,forall_leq,Pos,0.01,ER
list,isnil,Pos,0.01,ER
list,mem,Pos,0.01,ER
list,fold_div,Pos,0.01,ER
list,mapfilter,Pos,0.01,ER
list,iter,Pos,0.01,ER
list,fold_right,Pos,0.01,ER
list,list_rec,Pos,0.01,ER
list,list,Pos,0.01,ER
list,sieve,Pos,0.01,ER
list,reverse,Pos,0.01,ER
list,introlist,Pos,0.01,ER
list,zip,Pos,0.01,ER
